Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41.0,1,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,2.0,Female,94,3,2,Sales Executive,4.0,Single,5993.0,19479,8,Yes,11,3,1,0,8,0.0,1.0,6.0,4,0,5
49.0,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,2,3.0,Male,61,2,2,Research Scientist,2.0,Married,5130.0,24907,1,No,23,4,4,1,10,3.0,3.0,10.0,7,1,7
37.0,1,Travel_Rarely,1373,Research & Development,2,2,Other,4,4.0,Male,92,2,1,Laboratory Technician,3.0,Single,2090.0,2396,6,Yes,15,3,2,0,7,3.0,3.0,0.0,0,0,0
33.0,0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,5,4.0,Female,56,3,1,Research Scientist,3.0,Married,2909.0,23159,1,Yes,11,3,3,0,8,3.0,3.0,8.0,7,3,0
27.0,0,Travel_Rarely,591,Research & Development,2,1,Medical,7,1.0,Male,40,3,1,Laboratory Technician,2.0,Married,3468.0,16632,9,No,12,3,4,1,6,3.0,3.0,2.0,2,2,2
32.0,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,8,4.0,Male,79,3,1,Laboratory Technician,4.0,Single,3068.0,11864,0,No,13,3,3,0,8,2.0,2.0,7.0,7,3,6
59.0,0,Travel_Rarely,1324,Research & Development,3,3,Medical,10,3.0,Female,81,4,1,Laboratory Technician,1.0,Married,2670.0,9964,4,Yes,20,4,1,3,12,3.0,2.0,1.0,0,0,0
30.0,0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,11,4.0,Male,67,3,1,Laboratory Technician,3.0,Divorced,2693.0,13335,1,No,22,4,2,1,1,2.0,3.0,1.0,0,0,0
38.0,0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,12,4.0,Male,44,2,3,Manufacturing Director,3.0,Single,9526.0,8787,0,No,21,4,2,0,10,2.0,3.0,5.0,7,1,8
36.0,0,Travel_Rarely,1299,Research & Development,27,3,Medical,13,3.0,Male,94,3,2,Healthcare Representative,3.0,Married,5237.0,16577,6,No,13,3,2,2,17,3.0,2.0,7.0,7,7,7
